Cluster,Activity_Rank,Risk_Level,Pixel_Count,Percentage,Mean_Hotspot_Frequency,Median_Hotspot_Frequency,Std_Hotspot_Frequency,Min_Hotspot_Frequency,Max_Hotspot_Frequency,Mean_FRP_Max,Median_FRP_Max,Std_FRP_Max,Min_FRP_Max,Max_FRP_Max,Ranking_Basis,Interpretation_Short,Interpretation
9,38.0,Very High,35,0.17373175816539263,1.0,1.0,0.0,1,1,48.16571428571429,48.14,0.29822302860429073,47.54,48.51,"Ranked by Hotspot Frequency (1.00), FRP (48.17), Pixel Count (35, 0.17% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #38 with the highest hotspot frequency (1.00) and strong fire radiative power (48.17). The cluster contains 35 pixels (0.17% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
10,39.0,Very High,76,0.37724610344485254,1.0,1.0,0.0,1,1,45.50092105263158,45.32,0.40604819954148114,44.99,46.63,"Ranked by Hotspot Frequency (1.00), FRP (45.50), Pixel Count (76, 0.38% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #39 with the highest hotspot frequency (1.00) and strong fire radiative power (45.50). The cluster contains 76 pixels (0.38% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
8,40.0,Very High,49,0.2432244614315497,1.0,1.0,0.0,1,1,42.81285714285714,42.83,0.23746052303488127,41.95,43.09,"Ranked by Hotspot Frequency (1.00), FRP (42.81), Pixel Count (49, 0.24% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #40 with the highest hotspot frequency (1.00) and strong fire radiative power (42.81). The cluster contains 49 pixels (0.24% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
11,41.0,Very High,34,0.16876799364638143,1.0,1.0,0.0,1,1,41.194411764705876,41.16,0.17243692173838177,40.95,41.37,"Ranked by Hotspot Frequency (1.00), FRP (41.19), Pixel Count (34, 0.17% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #41 with the highest hotspot frequency (1.00) and strong fire radiative power (41.19). The cluster contains 34 pixels (0.17% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
12,42.0,Very High,49,0.2432244614315497,1.0,1.0,0.0,1,1,40.2604081632653,40.4,0.23712654132053465,39.83,40.51,"Ranked by Hotspot Frequency (1.00), FRP (40.26), Pixel Count (49, 0.24% of dataset).",Highest Wildfire Priority,"Very high wildfire activity. This cluster ranks #42 with the highest hotspot frequency (1.00) and strong fire radiative power (40.26). The cluster contains 49 pixels (0.24% of all observations). This area should be considered the highest priority for wildfire prevention, monitoring, and mitigation."
16,43.0,High,44,0.21840563883649358,1.0,1.0,0.0,1,1,38.986590909090914,39.09,0.17940396383863216,38.76,39.3,"Ranked by Hotspot Frequency (1.00), FRP (38.99), Pixel Count (44, 0.22% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #43 with high hotspot occurrence (1.00) and elevated fire radiative power (38.99). The cluster represents 44 pixels (0.22% of the dataset). Preventive monitoring is strongly recommended.
15,44.0,High,95,0.4715576293060657,1.0,1.0,0.0,1,1,38.0801052631579,38.16,0.25422177759989084,37.54,38.41,"Ranked by Hotspot Frequency (1.00), FRP (38.08), Pixel Count (95, 0.47% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #44 with high hotspot occurrence (1.00) and elevated fire radiative power (38.08). The cluster represents 95 pixels (0.47% of the dataset). Preventive monitoring is strongly recommended.
13,45.0,High,46,0.22833316787451602,1.0,1.0,0.0,1,1,36.41956521739131,36.52,0.16961337108899838,36.17,36.59,"Ranked by Hotspot Frequency (1.00), FRP (36.42), Pixel Count (46, 0.23% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #45 with high hotspot occurrence (1.00) and elevated fire radiative power (36.42). The cluster represents 46 pixels (0.23% of the dataset). Preventive monitoring is strongly recommended.
14,46.0,High,31,0.15387670008934776,1.0,1.0,0.0,1,1,35.730322580645165,35.7,0.0936121028844658,35.59,35.86,"Ranked by Hotspot Frequency (1.00), FRP (35.73), Pixel Count (31, 0.15% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #46 with high hotspot occurrence (1.00) and elevated fire radiative power (35.73). The cluster represents 31 pixels (0.15% of the dataset). Preventive monitoring is strongly recommended.
20,47.0,High,44,0.21840563883649358,1.0,1.0,0.0,1,1,34.2075,34.2,0.17055484012003674,33.95,34.45,"Ranked by Hotspot Frequency (1.00), FRP (34.21), Pixel Count (44, 0.22% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #47 with high hotspot occurrence (1.00) and elevated fire radiative power (34.21). The cluster represents 44 pixels (0.22% of the dataset). Preventive monitoring is strongly recommended.
19,48.0,High,38,0.18862305172242627,1.0,1.0,0.0,1,1,33.45368421052632,33.43,0.08826927636137107,33.36,33.7,"Ranked by Hotspot Frequency (1.00), FRP (33.45), Pixel Count (38, 0.19% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #48 with high hotspot occurrence (1.00) and elevated fire radiative power (33.45). The cluster represents 38 pixels (0.19% of the dataset). Preventive monitoring is strongly recommended.
24,49.0,High,36,0.17869552268440386,1.0,1.0,0.0,1,1,31.35722222222222,31.34,0.19407820384151636,31.03,31.62,"Ranked by Hotspot Frequency (1.00), FRP (31.36), Pixel Count (36, 0.18% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #49 with high hotspot occurrence (1.00) and elevated fire radiative power (31.36). The cluster represents 36 pixels (0.18% of the dataset). Preventive monitoring is strongly recommended.
25,50.0,High,52,0.2581157549885833,1.0,1.0,0.0,1,1,30.236923076923077,30.275,0.2648901989433157,29.89,30.73,"Ranked by Hotspot Frequency (1.00), FRP (30.24), Pixel Count (52, 0.26% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #50 with high hotspot occurrence (1.00) and elevated fire radiative power (30.24). The cluster represents 52 pixels (0.26% of the dataset). Preventive monitoring is strongly recommended.
23,51.0,High,42,0.20847810979847115,1.0,1.0,0.0,1,1,29.315714285714286,29.3,0.10502364094238258,29.19,29.57,"Ranked by Hotspot Frequency (1.00), FRP (29.32), Pixel Count (42, 0.21% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #51 with high hotspot occurrence (1.00) and elevated fire radiative power (29.32). The cluster represents 42 pixels (0.21% of the dataset). Preventive monitoring is strongly recommended.
28,52.0,High,53,0.26307951950759456,1.0,1.0,0.0,1,1,28.690377358490565,28.67,0.08761722398616516,28.58,28.82,"Ranked by Hotspot Frequency (1.00), FRP (28.69), Pixel Count (53, 0.26% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #52 with high hotspot occurrence (1.00) and elevated fire radiative power (28.69). The cluster represents 53 pixels (0.26% of the dataset). Preventive monitoring is strongly recommended.
27,53.0,High,42,0.20847810979847115,1.0,1.0,0.0,1,1,28.324761904761903,28.33,0.05768873987597943,28.25,28.41,"Ranked by Hotspot Frequency (1.00), FRP (28.32), Pixel Count (42, 0.21% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #53 with high hotspot occurrence (1.00) and elevated fire radiative power (28.32). The cluster represents 42 pixels (0.21% of the dataset). Preventive monitoring is strongly recommended.
26,54.0,High,29,0.14394917105132532,1.0,1.0,0.0,1,1,27.215862068965517,27.17,0.09689896215643894,27.08,27.38,"Ranked by Hotspot Frequency (1.00), FRP (27.22), Pixel Count (29, 0.14% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #54 with high hotspot occurrence (1.00) and elevated fire radiative power (27.22). The cluster represents 29 pixels (0.14% of the dataset). Preventive monitoring is strongly recommended.
29,55.0,High,89,0.4417750421919984,1.0,1.0,0.0,1,1,26.41932584269663,26.43,0.2540212846880454,25.89,26.9,"Ranked by Hotspot Frequency (1.00), FRP (26.42), Pixel Count (89, 0.44% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #55 with high hotspot occurrence (1.00) and elevated fire radiative power (26.42). The cluster represents 89 pixels (0.44% of the dataset). Preventive monitoring is strongly recommended.
33,56.0,High,32,0.15884046460835896,1.0,1.0,0.0,1,1,25.546875,25.52,0.07195148455057834,25.46,25.7,"Ranked by Hotspot Frequency (1.00), FRP (25.55), Pixel Count (32, 0.16% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #56 with high hotspot occurrence (1.00) and elevated fire radiative power (25.55). The cluster represents 32 pixels (0.16% of the dataset). Preventive monitoring is strongly recommended.
34,57.0,High,35,0.17373175816539263,1.0,1.0,0.0,1,1,25.29542857142857,25.32,0.05215039660008448,25.19,25.33,"Ranked by Hotspot Frequency (1.00), FRP (25.30), Pixel Count (35, 0.17% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #57 with high hotspot occurrence (1.00) and elevated fire radiative power (25.30). The cluster represents 35 pixels (0.17% of the dataset). Preventive monitoring is strongly recommended.
31,58.0,High,41,0.2035143452794599,1.0,1.0,0.0,1,1,24.712926829268294,24.71,0.0684924777781848,24.61,24.87,"Ranked by Hotspot Frequency (1.00), FRP (24.71), Pixel Count (41, 0.20% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #58 with high hotspot occurrence (1.00) and elevated fire radiative power (24.71). The cluster represents 41 pixels (0.20% of the dataset). Preventive monitoring is strongly recommended.
32,59.0,High,32,0.15884046460835896,1.0,1.0,0.0,1,1,24.461875,24.46,0.029450614758903794,24.42,24.49,"Ranked by Hotspot Frequency (1.00), FRP (24.46), Pixel Count (32, 0.16% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #59 with high hotspot occurrence (1.00) and elevated fire radiative power (24.46). The cluster represents 32 pixels (0.16% of the dataset). Preventive monitoring is strongly recommended.
30,60.0,High,30,0.14891293557033655,1.0,1.0,0.0,1,1,24.19066666666667,24.17,0.06225272924820766,24.13,24.28,"Ranked by Hotspot Frequency (1.00), FRP (24.19), Pixel Count (30, 0.15% of dataset).",High Wildfire Activity,High wildfire activity. This cluster ranks #60 with high hotspot occurrence (1.00) and elevated fire radiative power (24.19). The cluster represents 30 pixels (0.15% of the dataset). Preventive monitoring is strongly recommended.
